Film_title,Director,Average_rating,Genres,Total_ratings,Film_URL,,,,
"Synecdoche, New York",Charlie Kaufman,4.18,['Drama'],224147,https://letterboxd.com/film/synecdoche-new-york/,,,,
The King of Comedy,Martin Scorsese,4.24,"['Comedy', 'Drama']",322277,https://letterboxd.com/film/the-king-of-comedy/,,,,
A Ghost Story,David Lowery,3.77,"['Fantasy', 'Drama', 'Romance', 'Mystery']",296143,https://letterboxd.com/film/a-ghost-story-2017/,,,,
Masters of the Universe,Gary Goddard,2.51,"['Thriller', 'Adventure', 'Fantasy', 'Action', 'Science Fiction']",28151,https://letterboxd.com/film/masters-of-the-universe/,,,,
The Iron Giant,Brad Bird,4.26,"['Science Fiction', 'Animation', 'Family', 'Adventure']",500015,https://letterboxd.com/film/the-iron-giant/,,,,
Moonlight,Barry Jenkins,4.2,['Drama'],1122283,https://letterboxd.com/film/moonlight-2016/,,,,
Pulp Fiction,Quentin Tarantino,4.25,"['Crime', 'Thriller']",2968938,https://letterboxd.com/film/pulp-fiction/,,,,
The Fifth Element,Luc Besson,3.77,"['Action', 'Science Fiction', 'Adventure']",389857,https://letterboxd.com/film/the-fifth-element/,,,,
Top Gun,Tony Scott,3.43,"['Action', 'Drama']",794877,https://letterboxd.com/film/top-gun/,,,,
Watchmen,Zack Snyder,3.66,"['Mystery', 'Science Fiction', 'Action']",475573,https://letterboxd.com/film/watchmen/,,,,
Rushmore,Wes Anderson,3.9,"['Comedy', 'Drama']",377317,https://letterboxd.com/film/rushmore/,,,,
Child's Play,Tom Holland,3.33,['Horror'],300512,https://letterboxd.com/film/childs-play/,,,,
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,4.38,"['Fantasy', 'Adventure', 'Action']",1954265,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,,,,
Heat,Michael Mann,4.28,"['Crime', 'Action', 'Drama']",703521,https://letterboxd.com/film/heat-1995/,,,,
Empire of the Sun,Steven Spielberg,3.84,"['History', 'War', 'Drama']",88902,https://letterboxd.com/film/empire-of-the-sun/,,,,
Boyz n the Hood,John Singleton,4.05,"['Drama', 'Crime']",226651,https://letterboxd.com/film/boyz-n-the-hood/,,,,
Flash Gordon,Mike Hodges,3.24,"['Adventure', 'Science Fiction', 'Action']",46637,https://letterboxd.com/film/flash-gordon-1980/,,,,
Spring Breakers,Harmony Korine,2.79,"['Drama', 'Crime']",303092,https://letterboxd.com/film/spring-breakers/,,,,
The Boxer's Omen,Kuei Chih-Hung,3.78,"['Fantasy', 'Action', 'Horror']",11379,https://letterboxd.com/film/the-boxers-omen/,,,,
